serie,arquitectura,k,unidades,learning_rate,batch_size,dropout,epocas_efectivas,rmse_val_escalado,mae_val_escalado,tiempo_seg
frontera_aurora,M1,12,64,0.001,16,0.2,24,0.31770969618110134,0.23694464450284344,3.1
frontera_aurora,M1,24,16,0.01,16,0.2,24,0.29636378172309896,0.19617426447646072,3.1
frontera_aurora,M1,24,16,0.001,16,0.2,22,0.30206603001705723,0.23216625355259826,3.3
frontera_aurora,M1,24,32,0.01,16,0.2,24,0.2850093062732857,0.19040483040189993,3.4
frontera_aurora,M1,24,32,0.001,16,0.2,26,0.319389402066585,0.22743364103214195,3.3
frontera_aurora,M1,24,64,0.01,16,0.2,25,0.27909986858518476,0.1750449494318458,3.4
frontera_aurora,M1,24,64,0.001,16,0.2,24,0.3155430471429176,0.23443694340761753,3.4
frontera_aurora,M2,6,16,0.01,16,0.2,22,0.3108108449645986,0.2595470977758615,4.3
frontera_aurora,M2,6,16,0.001,16,0.2,24,0.3340666320953612,0.3015172557699368,3.8
frontera_aurora,M2,6,32,0.01,16,0.2,23,0.3077721945811194,0.22494878796315443,3.7
frontera_aurora,M2,6,32,0.001,16,0.2,22,0.3231521042102825,0.26491045347528513,3.9
frontera_aurora,M2,6,64,0.01,16,0.2,23,0.3126857103212353,0.2189328899242108,3.8
frontera_aurora,M2,6,64,0.001,16,0.2,25,0.3288714299461532,0.24069763543733827,4.0
frontera_aurora,M2,12,16,0.01,16,0.2,22,0.32572936427065546,0.26738885414326424,3.8
frontera_aurora,M2,12,16,0.001,16,0.2,23,0.3444512550190036,0.29952986535156007,4.0
frontera_aurora,M2,12,32,0.01,16,0.2,23,0.3249581299966972,0.24626329717612516,3.9
frontera_aurora,M2,12,32,0.001,16,0.2,25,0.3402434155661328,0.25356747138079255,4.1
frontera_aurora,M2,12,64,0.01,16,0.2,23,0.32526632559636975,0.24718254677180684,4.8
frontera_aurora,M2,12,64,0.001,16,0.2,24,0.34689062545968496,0.27378445419248193,4.1
frontera_aurora,M2,24,16,0.01,16,0.2,24,0.34768697999666787,0.22773548024855975,4.3
frontera_aurora,M2,24,16,0.001,16,0.2,22,0.3563039609816569,0.3365042643917027,4.1
frontera_aurora,M2,24,32,0.01,16,0.2,21,0.33076742819682264,0.2303731036938851,4.1
frontera_aurora,M2,24,32,0.001,16,0.2,21,0.32938214163156493,0.28538041186058755,4.0
frontera_aurora,M2,24,64,0.01,16,0.2,21,0.3347145635536404,0.3092539260459367,4.2
frontera_aurora,M2,24,64,0.001,16,0.2,21,0.3425436860931645,0.290807819582266,4.2
region_america_central,M1,6,16,0.01,16,0.2,22,0.2663446231307239,0.2002008212317016,2.9
region_america_central,M1,6,16,0.001,16,0.2,23,0.27012395917100623,0.217029058954019,3.2
